Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
GAS,91.312,57.0,INTERMEDIATE,11.0,Alpine,Melbourne,0,18.7,91.312,-0.21727650459645598
ANT,98.729,8.0,INTERMEDIATE,8.0,Mercedes,Melbourne,0,19.1,98.729,2.376492849544971
ANT,96.312,9.0,INTERMEDIATE,9.0,Mercedes,Melbourne,0,19.1,96.312,1.5312534631407873
ANT,95.27,10.0,INTERMEDIATE,10.0,Mercedes,Melbourne,0,19.1,95.27,1.1668598178643452
ANT,94.678,11.0,INTERMEDIATE,11.0,Mercedes,Melbourne,0,19.1,94.678,0.9598338696842561
ANT,95.385,12.0,INTERMEDIATE,12.0,Mercedes,Melbourne,0,19.3,95.385,1.207076007122305
ANT,93.697,13.0,INTERMEDIATE,13.0,Mercedes,Melbourne,0,19.3,93.697,0.6167722900142109
ANT,93.802,14.0,INTERMEDIATE,14.0,Mercedes,Melbourne,1,19.3,93.802,0.6534914193366944
ANT,92.212,15.0,INTERMEDIATE,15.0,Mercedes,Melbourne,0,19.3,92.212,0.0974588895962498
ANT,92.312,17.0,INTERMEDIATE,17.0,Mercedes,Melbourne,1,19.4,92.312,0.13242948895099269
ANT,92.181,18.0,INTERMEDIATE,18.0,Mercedes,Melbourne,1,19.4,92.181,0.08661800379627684
ANT,91.942,19.0,INTERMEDIATE,19.0,Mercedes,Melbourne,1,19.4,91.942,0.0030382713384350907
ANT,91.319,20.0,INTERMEDIATE,20.0,Mercedes,Melbourne,1,19.4,91.319,-0.2148285626416221
ANT,91.042,21.0,INTERMEDIATE,21.0,Mercedes,Melbourne,1,19.2,91.042,-0.3116971228542657
ANT,91.887,22.0,INTERMEDIATE,22.0,Mercedes,Melbourne,1,19.2,91.887,-0.016195558306672003
ANT,91.324,23.0,INTERMEDIATE,23.0,Mercedes,Melbourne,1,19.2,91.324,-0.21308003267388642
ANT,90.822,24.0,INTERMEDIATE,24.0,Mercedes,Melbourne,0,19.2,90.822,-0.38863244143470405
ANT,90.706,25.0,INTERMEDIATE,25.0,Mercedes,Melbourne,0,19.2,90.706,-0.42919833668620794
ANT,91.299,26.0,INTERMEDIATE,26.0,Mercedes,Melbourne,1,19.2,91.299,-0.22182268251256967
ANT,90.463,27.0,INTERMEDIATE,27.0,Mercedes,Melbourne,0,19.1,90.463,-0.5141768931182412
ANT,90.716,28.0,INTERMEDIATE,28.0,Mercedes,Melbourne,0,19.1,90.716,-0.42570127675073666
ANT,89.919,29.0,INTERMEDIATE,29.0,Mercedes,Melbourne,0,19.1,89.919,-0.7044169536080522
